,id,name,main_trail,locality,walk,bike,off_road_v,mobility_a,horse,dog_access,dog_weblin,conditions,status,descriptio,weblink,image_link,managed_by,data_suppl,spatial_ac,date_modif,local_auth,geometry,affected_area,affected_length
18237,3576037,Allans Beach Access Track,Allans Beach Access Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1421530.8279832308 4917243.675289645, 1421531.187 4917234.7651)",0.0,8.917419612212155
18254,3532636,Okia Track,Okia Track,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1423774.7161629354 4922854.003245248, 1423813.3391000004 4922856.9172)",0.0,38.73270452508549
18216,,Oamaru to Dunedin,,,99.0,99.0,99.0,,99.0,,,,,,,,NZ Transport Agency,NZ Transport Agency,,,,"LINESTRING (1428676.99411734 4964086.6943101855, 1428678.8618244063 4964067.482964486)",0.0,19.30192045562878
18291,3558320,Moeraki Boulders Walk,Moeraki Boulders Walk,,99.0,99.0,,,,,,,,,,,,Land Information New Zealand,,,,"LINESTRING (1429688.0197328303 4976428.463079505, 1429689.7995999996 4976436.7691, 1429697.3202 4976455.5707)",0.0,28.744508909903665
10798,F485__509587,Moeraki Boulders Walk,,,2.0,99.0,99.0,,99.0,,,,,Moeraki Boulders Walk,,,DOC,DOC,,,,"LINESTRING (1429688.8769633737 4976425.612193475, 1429694.0607000003 4976439.2645, 1429700.7493000003 4976453.3475, 1429704.0844 4976468.0968)",0.0,45.31561900149667
5552,459,Jack's Point Walkway,Hector's Coastal Track,Timaru,1.0,2.0,0.0,No,0.0,OffLeash,,,Open,,,,TDC Parks,Timaru District Council,1:4000,2015-06-08,Timaru District Council,"MULTILINESTRING ((1461321.4152178196 5078816.720186386, 1461322.477 5078817.0485, 1461325.146950579 5078814.18553671), (1461153.1659961576 5076817.244381853, 1461151.9661999997 5076811.94, 1461148.8082999997 5076778.6069, 1461146.8591999998 5076766.6166, 1461144.2263709544 5076761.524172599))",0.0,61.8273076076927
5551,166,Saltwater Creek Cycle Walkway,Saltwater Creek Cycle Walkway,Timaru,2.0,2.0,0.0,No,0.0,OffLeash,,,Open,,,,TDC Parks,Timaru District Council,1:4000,,Timaru District Council,"LINESTRING (1461144.02080003 5079242.233225492, 1461144.0921 5079242.2338, 1461147.1522000004 5079241.7967, 1461149.4883000003 5079241.1545, 1461152.8417999996 5079239.6716, 1461155.7703999998 5079237.9343, 1461159.5924000004 5079236.7431, 1461164.0598 5079236.0482, 1461167.7824999997 5079235.6015)",0.0,24.930947894592585
5547,16,Saltwater Creek Cycle Walkway,Saltwater Creek Cycle Walkway,Timaru,2.0,2.0,0.0,No,0.0,OffLeash,,,Open,,,,TDC Parks,Timaru District Council,1:4000,,Timaru District Council,"LINESTRING (1461235.075879514 5079635.652406203, 1461238.9253000002 5079632.1912, 1461242.7356000002 5079630.923, 1461249.9327999996 5079629.2332, 1461253.3203999996 5079627.1182, 1461266.2373000002 5079620.7707)",0.0,34.97127943829087
10873,80,Saltwater Creek Gravel Cycle/walkway,,,99.0,99.0,0.0,Unknown,0.0,Unknown,,,Open,Saltwater Creek Gravel Cycle/walkway,,,Timaru District Council,Timaru District Council,"+/- 10m (1:10,000)",,Timaru District Council,"LINESTRING (1461235.075879514 5079635.652406203, 1461238.9253000002 5079632.1912, 1461242.7356000002 5079630.923, 1461249.9327999996 5079629.2332, 1461253.3203999996 5079627.1182, 1461254.7675 5079625.9821)",0.0,22.418810899444953
18601,79,Saltwater Creek Gravel Cycle/walkway,,,99.0,99.0,0.0,Unknown,0.0,Unknown,,,Open,Saltwater Creek Gravel Cycle/walkway,,,Timaru District Council,Timaru District Council,"+/- 10m (1:10,000)",,Timaru District Council,"MULTILINESTRING ((1461655.0293857418 5080316.605889403, 1461651.3830000004 5080310.8968, 1461646.6922000004 5080305.0518, 1461639.2251000004 5080295.8528, 1461633.2904000003 5080287.0378, 1461628.2165 5080281.0968, 1461623.2377000004 5080276.4966, 1461614.7155 5080270.554, 1461607.3427999998 5080264.3245, 1461601.11380878 5080260.61138561), (1461409.3991414316 5079957.1142652845, 1461408.1042999998 5079952.2961, 1461404.5302084775 5079941.915720788), (1461400.6664601895 5079925.5403769, 1461398.8074000003 5079917.1566, 1461397.1190999998 5079906.573, 1461390.7755000005 5079893.0239, 1461382.7385 5079880.3207, 1461378.9309 5079875.2391, 1461373.0103000002 5079862.5369, 1461362.8613999998 5079839.2497, 1461356.9401000002 5079828.2408, 1461353.1336000003 5079821.0427, 1461345.5165999997 5079815.1127, 1461337.4779000003 5079805.796, 1461334.9401000002 5079801.1384, 1461332.4024 5079796.4806, 1461329.8644000003 5079792.2464, 1461326.4841 5079778.6987, 1461322.2543000001 5079771.5003, 1461318.8707999997 5079764.7257, 1461312.9486999996 5079755.41, 1461310.8378999997 5079743.1329, 1461307.4556 5079733.8183, 1461301.1146 5079714.7662, 1461297.3103 5079702.9115, 1461295.1978000002 5079694.0209, 1461293.0853000004 5079685.1303, 1461289.7012999998 5079679.6256, 1461285.4691000003 5079677.507, 1461280.3898999998 5079676.2347, 1461277.0047000004 5079673.27, 1461274.0447000004 5079666.4954, 1461271.0844999999 5079659.721, 1461269.3942 5079653.3705, 1461265.5875000004 5079646.5957, 1461260.0873999996 5079640.2434, 1461255.8584000003 5079630.9284, 1461254.2679000003 5079623.7173, 1461230.0899999999 5079561.6024, 1461227.5125000002 5079557.8315, 1461224.5376000004 5079554.92, 1461220.7692 5079551.7435, 1461214.6259000003 5079535.4708, 1461205.9713000003 5079514.8979, 1461205.113 5079511.6567, 1461201.2792999996 5079506.5624, 1461198.966 5079503.3867, 1461195.9930999996 5079496.2425, 1461193.2182 5079490.0242, 1461191.1046000002 5079483.674, 1461189.0581999999 5079475.4719, 1461187.9381999997 5079466.0799, 1461186.0914000003 5079455.2325, 1461177.5691999998 5079434.4611, 1461173.0758999996 5079425.7289, 1461171.4906000001 5079421.2969, 1461171.0314882374 5079416.2926569125))",0.0,663.8229444975823
5540,6,Saltwater Creek Cycle Walkway,Hector's Coastal Track,Timaru,2.0,2.0,0.0,No,0.0,OffLeash,,,Open,,,,TDC Parks,Timaru District Council,1:4000,,Timaru District Council,"LINESTRING (1461791.3580109759 5080498.3004416395, 1461801.9512999998 5080519.5112, 1461807.0252999999 5080532.213, 1461815.4863999998 5080543.6464, 1461820.9825 5080558.8883, 1461824.3613999998 5080575.8225, 1461825.6251999997 5080588.9458, 1461826.0387000004 5080610.5351)",0.0,119.85820972198802
